EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
NK Celje,NK Maribor,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.65,2.95,2.00,1.45,1.25,1.25,8.00,4.50,1.05,4.50,3.60,1.25,1.45,3.40,3.25,1.12,4.25,5.75,ALL
Aalborg BK,Kopenhag,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.80,2.85,1.95,1.45,1.25,1.20,9.00,4.50,1.05,5.00,3.60,1.20,1.45,3.20,3.25,1.12,4.00,6.00,ALL
Shakhtar Donetsk,SC Dnipro-1,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.08,5.25,10.00,1.00,1.05,2.85,1.85,3.20,2.25,1.30,3.40,2.85,1.00,4.25,15.00,1.00,1.00,1.00,ALL
Dunajska S,FK Poprad,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.18,4.50,6.75,1.02,1.08,2.45,2.40,3.25,1.75,1.55,3.10,2.45,1.02,4.40,10.00,1.00,1.00,1.00,ALL
Zory Luhansk,FC Lviv,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.25,3.90,6.25,1.02,1.12,2.20,2.85,3.30,1.55,1.75,3.00,2.20,1.02,4.25,10.00,1.00,1.00,1.00,ALL
Viktoria Plzen,Mlada Boleslav,4-2,4,2,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.40,3.50,4.75,1.05,1.15,1.95,3.40,3.50,1.40,2.00,3.00,1.95,1.05,4.00,8.50,1.00,1.00,1.00,ALL
B. Leverkusen,Union Berlin,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.40,3.50,4.40,1.08,1.15,1.90,3.40,3.60,1.40,2.00,3.20,1.90,1.08,4.25,7.50,1.00,4.60,10.00,ALL
Internacional,U. Catolica,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.55,3.25,3.90,1.15,1.18,1.75,5.00,3.50,1.20,2.35,2.70,1.85,1.12,3.60,8.25,1.00,4.25,15.00,ALL
Sparta Prag,Banik Ostrava,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.50,3.20,4.00,1.10,1.18,1.75,4.00,3.60,1.30,2.30,3.00,1.75,1.10,4.00,7.25,1.00,4.50,12.00,ALL
Eintracht Frankfurt,Werder Bremen,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.60,3.30,3.10,1.12,1.18,1.60,3.50,3.50,1.20,2.20,3.10,1.60,1.12,3.50,4.40,1.00,1.00,1.00,ALL
XolosTijuana,Deportivo Toluca,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.70,2.90,3.50,1.12,1.20,1.60,5.00,3.90,1.20,2.75,3.10,1.60,1.12,3.75,6.50,1.02,4.50,10.00,ALL
FC Dinamo Brest,S. Soligorsk,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.70,2.80,1.20,1.25,1.45,6.50,4.00,1.12,3.40,3.10,1.45,1.20,3.50,5.50,1.00,1.00,1.00,ALL
Motherwell,Ross County,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.55,3.10,4.00,1.10,1.20,1.70,4.50,3.60,1.25,2.45,2.95,1.70,1.10,3.90,7.50,1.00,4.40,12.00,ALL
Zalaegerszeg,Fehervar,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.00,3.10,1.75,1.55,1.20,1.18,5.25,3.75,1.18,1.55,3.25,2.75,1.18,4.00,5.00,1.00,1.00,1.00,ALL
Mariupol,Vorskla Poltava,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.90,2.85,2.85,1.20,1.25,1.50,6.25,4.00,1.12,3.25,3.10,1.50,1.20,3.50,5.25,1.02,4.40,9.50,ALL
Slask Wroclaw,Korona Kielce,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.00,4.25,1.08,1.20,1.70,4.50,3.60,1.25,2.45,2.95,1.70,1.08,3.90,8.00,1.00,4.40,12.00,ALL
Spezia,Pescara,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.55,2.95,4.25,1.08,1.20,1.70,4.40,3.60,1.25,2.45,3.00,1.70,1.08,3.90,7.50,1.00,4.40,12.00,ALL
Sigma Olomouc,Jablonec,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.45,2.85,2.20,1.35,1.25,1.30,7.50,4.40,1.05,4.25,3.40,1.30,1.35,3.30,3.75,1.08,4.25,7.00,ALL
America Cali,Gremio Porto,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.65,2.25,1.35,1.25,1.25,8.50,4.25,1.05,4.60,3.25,1.25,1.35,3.20,4.00,1.08,4.25,7.50,ALL
SKF Sered,Ruzomberok,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.75,2.20,1.35,1.25,1.30,8.50,4.25,1.05,4.60,3.40,1.30,1.35,3.20,3.90,1.08,4.25,7.25,ALL
Bonner,Lippstadt 08,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.40,3.60,1.15,1.18,1.70,4.00,3.75,1.30,2.30,3.20,1.70,1.12,4.00,6.25,1.02,4.60,9.50,ALL
Lechia Gdansk,Legia Varşova,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.60,3.00,1.65,1.65,1.20,1.12,10.00,4.50,1.02,6.75,3.75,1.12,1.65,3.00,2.60,1.20,3.75,4.75,ALL
Hajduk Split,Dinamo Zagreb,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.75,3.00,1.60,1.67,1.20,1.12,12.00,4.50,1.00,7.00,3.90,1.12,1.67,3.00,2.50,1.25,3.75,4.60,ALL
AEK Athens,Aris,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.52,2.95,4.60,1.06,1.20,1.75,4.60,3.55,1.25,2.45,2.80,1.75,1.06,3.85,9.25,1.00,4.25,14.00,ALL
W.Flensburg,Heider SV,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.08,5.25,10.00,1.00,1.02,2.90,1.85,3.20,2.25,1.30,3.30,2.90,1.00,4.25,15.00,1.00,1.00,1.00,ALL
LKS Lodz,Zaglebie Lubin,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.55,2.85,2.10,1.40,1.25,1.25,8.00,4.40,1.05,4.50,3.50,1.25,1.40,3.30,3.60,1.10,4.25,6.50,ALL
NS Mura,Rudar,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.40,5.75,1.05,1.15,2.05,2.95,3.50,1.50,1.80,3.20,2.05,1.05,4.25,9.00,1.00,4.50,12.50,ALL
Akhmat Grozny,Zenit,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,4.40,3.10,1.50,1.80,1.18,1.08,12.50,4.40,1.00,8.50,3.90,1.08,1.80,2.85,2.35,1.25,3.50,4.40,ALL
TUS Haltern,Weiss Essen,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.75,3.50,1.50,1.80,1.15,1.15,10.00,4.60,1.02,6.75,4.00,1.12,1.80,3.10,2.15,1.30,3.60,3.75,ALL
VSN Varazdin,HNK Gorica,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,3.60,2.95,1.65,1.65,1.20,1.12,12.00,4.50,1.00,6.75,3.75,1.12,1.65,3.00,2.60,1.20,3.75,4.75,ALL
Stjarnan Gardabaer,Valur Reykjavik,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.20,3.25,2.20,1.35,1.20,1.35,6.00,4.40,1.10,3.50,3.60,1.35,1.35,3.60,3.50,1.10,4.40,6.00,ALL
Tottenham,Norwich City,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.45,3.60,4.40,1.08,1.15,1.85,3.30,3.60,1.40,2.00,3.25,1.85,1.08,4.25,7.00,1.00,4.60,10.00,ALL
Bayern Münih U19,Dinamo Zagreb U19,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.35,4.00,4.25,1.08,1.12,1.95,2.70,3.75,1.50,1.80,3.60,1.95,1.08,4.60,6.25,1.00,5.00,9.00,ALL
Kilmarnock,Aberdeen,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.45,2.65,2.35,1.30,1.25,1.30,9.00,4.25,1.05,4.60,3.25,1.30,1.30,3.20,4.40,1.05,4.25,8.25,ALL
Nitra,VZ Moravce V,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.75,2.35,1.30,1.25,1.30,8.25,4.25,1.05,4.25,3.20,1.30,1.30,3.25,4.40,1.05,4.25,8.25,ALL
Livingston,Celtic,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,6.00,3.60,1.30,2.10,1.12,1.05,10.00,4.25,1.05,2.10,2.95,1.80,1.50,3.30,3.10,1.00,1.00,1.00,ALL
Sydney FC,Jeonbuk,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.80,3.00,1.85,1.50,1.20,1.20,8.25,4.50,1.05,5.00,3.75,1.20,1.50,3.30,2.95,1.12,4.25,5.75,ALL
Millonarios,Independiente Santa Fe,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.70,2.25,1.35,1.25,1.30,9.50,4.25,1.05,5.00,3.20,1.30,1.35,3.10,4.40,1.05,4.25,8.50,ALL
St Mirren,St Johnstone,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.35,2.60,2.45,1.30,1.30,1.30,8.50,4.25,1.05,4.50,3.20,1.30,1.30,3.25,4.60,1.05,4.25,9.00,ALL
NK Istra 61,Osijek,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,4.75,3.40,1.40,1.90,1.15,1.08,12.50,4.40,1.00,8.50,4.00,1.08,1.90,2.95,2.10,1.35,3.50,3.60,ALL
Aus Lustenau,Wacker Innsbruck,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,3.00,2.65,1.20,1.20,1.45,4.50,3.50,1.12,2.70,3.00,1.45,1.20,3.25,4.00,1.05,3.60,6.25,ALL
Paranaense,Penarol Uru,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.65,2.85,3.75,1.12,1.20,1.62,5.00,3.75,1.20,2.70,2.95,1.62,1.12,3.75,7.25,1.00,4.25,12.00,ALL
Leicester City,Birmingham,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.15,4.60,8.25,1.02,1.08,2.50,2.20,3.30,1.85,1.45,3.25,2.50,1.02,4.40,12.00,1.00,1.00,1.00,ALL
Piast Gliwice,Arka Gdynia,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.10,4.25,1.08,1.20,1.75,4.25,3.60,1.25,2.35,3.00,1.75,1.08,4.00,7.50,1.00,4.40,12.00,ALL
Arbroath,Dunfermline,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.45,2.85,2.20,1.35,1.25,1.30,8.00,4.40,1.05,4.40,3.40,1.30,1.35,3.30,3.75,1.08,4.25,7.00,ALL
Itagui Leones FC,Boca Juniors De Cali,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.00,4.00,1.10,1.20,1.70,4.75,3.60,1.25,2.50,2.90,1.70,1.10,3.75,8.00,1.00,4.40,12.50,ALL
Utrecht,Ajax,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.90,3.60,1.45,1.80,1.15,1.12,6.25,4.25,1.12,1.80,3.40,2.05,1.35,3.75,3.30,1.00,1.00,1.00,ALL
Paksi,Bud. Honved,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,3.10,2.30,1.35,1.20,1.35,7.25,4.25,1.08,3.90,3.25,1.35,1.35,3.30,4.00,1.08,4.25,7.50,ALL
NK Bravo,NK Domzale,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.30,2.85,2.30,1.35,1.25,1.35,6.75,4.40,1.08,3.75,3.50,1.35,1.35,3.50,3.75,1.08,4.40,6.75,ALL
PAOK,Olympiacos,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.15,2.75,2.60,1.25,1.25,1.38,7.25,4.10,1.08,3.85,3.15,1.38,1.25,3.35,4.90,1.05,4.30,9.00,ALL
Ascoli,Chievo,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.65,2.45,1.30,1.25,1.30,7.50,4.25,1.08,4.25,3.30,1.30,1.30,3.40,4.40,1.05,4.25,8.25,ALL
AS Trencin,Slovan Bratislava,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,3.30,3.25,1.65,1.65,1.18,1.15,9.00,4.75,1.02,5.50,4.00,1.15,1.65,3.30,2.45,1.25,3.90,4.25,ALL
Guabira Montero,Blooming,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,3.20,2.50,1.30,1.20,1.45,5.50,4.25,1.12,3.10,3.40,1.45,1.25,3.60,4.25,1.05,4.50,7.25,ALL
Chacarita Juniors,Instituto AC Cordoba,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.65,2.45,1.25,1.28,1.35,8.50,4.20,1.06,4.25,3.15,1.35,1.25,3.20,4.80,1.05,4.25,9.00,ALL
Talaea Gaish,Enppi Club,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.45,2.80,1.25,1.30,1.35,8.00,4.25,1.08,4.25,3.10,1.35,1.20,3.40,5.50,1.02,4.25,10.00,ALL
Santo Andre,Goias GO,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.85,2.75,1.20,1.25,1.45,6.25,4.00,1.12,3.40,3.10,1.45,1.20,3.50,5.00,1.05,4.40,9.00,ALL
OCS de Safi,CR Khemis Zemamra,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.05,2.40,3.10,1.20,1.30,1.40,7.25,4.00,1.08,3.75,3.10,1.40,1.18,3.50,6.25,1.02,4.40,10.00,ALL
US Biskra,ES Setif,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.50,2.35,1.30,1.30,1.30,10.00,4.25,1.05,5.25,3.10,1.25,1.30,3.00,5.00,1.05,4.25,9.50,ALL
Fram Rey,Fylkir Reykjavik,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,5.25,4.25,1.25,2.20,1.10,1.05,12.00,4.60,1.00,8.00,4.50,1.05,2.20,3.30,1.65,1.60,3.50,2.55,ALL
Hermannstadt,FCSB,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.90,2.95,1.60,1.67,1.20,1.12,12.00,4.40,1.00,7.50,3.75,1.12,1.67,2.90,2.60,1.20,3.75,5.00,ALL
Atl. Junior,Flamengo,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.50,2.90,1.70,1.60,1.20,1.12,12.00,4.40,1.02,7.00,3.60,1.12,1.60,2.90,2.85,1.18,3.75,5.50,ALL
Randers,SonderjyskE,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.80,2.90,2.85,1.15,1.20,1.45,4.60,3.40,1.12,2.70,2.90,1.45,1.15,3.20,4.50,1.02,3.60,7.00,ALL
C Cordoba,San Telmo,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.60,2.80,4.25,1.15,1.25,1.50,5.75,4.00,1.15,3.10,3.10,1.50,1.15,3.75,6.00,1.02,4.50,10.00,ALL
Fortaleza FC,Orsomarso SC,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.10,5.25,1.05,1.18,1.90,4.00,3.40,1.30,2.20,2.80,1.90,1.05,4.00,10.00,1.00,4.25,15.00,ALL
Velez Sarsfield,Godoy Cruz,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.25,3.60,6.75,1.02,1.12,2.20,2.90,3.25,1.55,1.75,3.00,2.20,1.02,4.25,12.00,1.00,1.00,1.00,ALL
Barcelona SC,Independiente Del Valle,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.67,3.00,3.50,1.18,1.20,1.62,4.50,3.90,1.20,2.55,3.20,1.67,1.12,3.90,6.25,1.02,4.50,10.00,ALL
Derby County,Manchester United,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,5.00,3.60,1.40,2.00,1.15,1.05,12.00,4.50,1.00,8.50,4.25,1.05,2.00,3.10,1.90,1.40,3.50,3.20,ALL
CA Bordj Bou Arreridj,MC Alger,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.35,2.50,2.50,1.30,1.30,1.30,9.00,4.25,1.05,4.60,3.10,1.30,1.25,3.20,5.00,1.05,4.25,9.50,ALL
Fluminense,Botafogo PB,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.40,5.75,1.05,1.15,2.05,3.40,3.30,1.40,1.95,2.85,2.05,1.05,4.00,10.00,1.00,1.00,1.00,ALL
JS Kabylie,USM Bel Abbes,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.25,6.25,1.02,1.15,2.05,3.50,3.30,1.40,1.95,2.80,2.05,1.02,4.00,12.00,1.00,1.00,1.00,ALL
IA Akranes,L. Reykjavik,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.40,3.75,4.25,1.08,1.15,1.90,3.00,3.75,1.45,1.90,3.40,1.90,1.08,4.40,6.50,1.00,4.75,9.50,ALL
Guarani Asu,Club Bolivar,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.25,5.00,1.08,1.15,1.90,3.60,3.50,1.35,2.05,3.00,2.10,1.05,4.00,9.00,1.00,1.00,1.00,ALL
AL Shabab FC (KSA),AL Adalh FC,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.55,3.40,3.60,1.12,1.18,1.70,4.40,3.75,1.25,2.40,3.00,1.70,1.12,3.90,6.50,1.02,4.50,10.00,ALL
Strongest,SJ Oruro,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.55,3.20,4.00,1.12,1.18,1.75,3.40,3.60,1.35,2.05,3.25,2.00,1.08,4.25,7.00,1.00,4.60,10.00,ALL
LDU Quito,River Plate,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.35,2.75,2.35,1.35,1.25,1.35,9.00,4.25,1.05,4.50,3.10,1.30,1.30,3.10,4.50,1.05,4.25,9.00,ALL
FC Juarez,CF Monterrey,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.90,2.85,1.90,1.50,1.25,1.20,9.50,4.50,1.02,5.50,3.60,1.20,1.50,3.10,3.20,1.12,4.00,6.00,ALL
Academica,Penafiel,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.67,2.85,3.75,1.12,1.25,1.60,5.50,3.75,1.18,2.85,2.90,1.60,1.12,3.75,7.25,1.00,4.40,12.00,ALL
Tabor Sezana,Triglav,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.85,2.75,3.20,1.18,1.25,1.50,5.25,4.00,1.15,2.90,3.30,1.50,1.18,3.90,5.50,1.02,4.60,9.00,ALL
Feyenoord,NAC Breda,7-1,7,1,8,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.12,4.75,8.50,1.00,1.05,2.65,1.90,3.40,2.10,1.35,3.60,2.65,1.00,4.50,12.00,1.00,4.60,12.00,ALL
J Wilsterman,Colo Colo,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.85,3.40,1.18,1.25,1.55,6.00,3.75,1.15,3.00,2.90,1.60,1.15,3.60,6.75,1.02,4.40,12.00,ALL
CA Tigre,Palmeiras SP,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.50,2.85,1.70,1.60,1.20,1.12,12.50,4.25,1.00,7.00,3.60,1.12,1.60,2.90,2.90,1.18,3.75,5.50,ALL
Al-Gharrafa,AL Wakrah,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.85,3.20,2.70,1.25,1.20,1.50,5.50,4.00,1.15,3.00,3.20,1.55,1.25,3.60,4.75,1.05,4.50,8.25,ALL
Tigres FC,Barranquilla FC,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.75,2.80,3.50,1.12,1.25,1.55,5.50,3.75,1.15,2.90,2.95,1.60,1.12,3.75,7.00,1.02,4.40,12.00,ALL
AL Ain FC,Fujairah FC,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.20,4.25,6.25,1.02,1.08,2.30,2.65,3.25,1.62,1.65,3.00,2.30,1.02,4.25,10.00,1.00,1.00,1.00,ALL
Granada,Athletic Bilbao,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,2.50,2.55,1.20,1.30,1.30,6.50,3.40,1.05,3.75,2.80,1.30,1.20,2.90,4.40,1.05,4.25,8.50,ALL
St Etienne,Rennes,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.40,2.70,2.45,1.30,1.25,1.30,8.00,4.25,1.05,4.40,3.25,1.30,1.30,3.30,4.40,1.05,4.25,8.25,ALL
CD Cortulua,CD Real San Andres,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.10,4.00,1.08,1.18,1.75,4.60,3.60,1.25,2.45,2.85,1.75,1.08,3.90,8.25,1.00,4.40,12.50,ALL
Sharjah FC,Hatta SC,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.75,5.00,1.05,1.12,2.05,3.25,3.40,1.45,1.90,2.95,2.05,1.05,4.25,9.00,1.00,4.40,12.50,ALL
AC Horsens,Silkeborg,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.70,2.95,3.10,1.12,1.20,1.55,4.25,3.40,1.15,2.75,2.85,1.55,1.12,3.25,4.75,1.02,3.60,7.25,ALL
Real Potosi,Oriente Petrolero,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.65,3.10,3.40,1.18,1.20,1.62,3.90,3.75,1.30,2.25,3.20,1.75,1.12,4.00,6.50,1.02,4.60,10.00,ALL
Estudiantes,Deportivo Lf,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.15,4.75,7.00,1.02,1.05,2.55,2.45,3.10,1.75,1.55,2.85,2.55,1.02,4.25,12.50,1.00,1.00,1.00,ALL
İrlanda (K),Yunanistan (K),1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.30,4.40,4.75,1.08,1.10,2.10,3.30,3.50,1.50,1.90,3.10,2.50,1.08,4.60,9.50,1.00,5.25,15.00,ALL
Salzburg,LASK,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.62,3.20,3.40,1.15,1.20,1.65,4.25,3.90,1.25,2.45,3.20,1.65,1.15,4.00,6.00,1.02,4.60,9.50,ALL
Umm-Salal SC,Al Shahaniya,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.95,3.20,2.55,1.25,1.20,1.45,6.00,4.00,1.12,3.25,3.20,1.45,1.25,3.50,4.60,1.05,4.40,8.25,ALL
Khimki,Torpedo Mosk,5-1,5,1,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.50,2.80,2.15,1.35,1.25,1.25,8.50,4.40,1.05,4.60,3.40,1.25,1.35,3.20,3.90,1.08,4.25,7.25,ALL
Al-Wasl FC,AL Dhafra Scc,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.40,3.10,2.05,1.40,1.20,1.30,7.25,4.40,1.08,4.00,3.40,1.30,1.40,3.30,3.40,1.12,4.25,6.75,ALL
Delfin Sc,Club Olimpia,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.60,2.50,1.30,1.30,1.35,8.00,4.25,1.08,4.25,3.25,1.35,1.25,3.30,4.75,1.05,4.25,8.50,ALL
